1,331A2452P12,"INSERT MOLDED, METRIC FOR 192A7923P23"
2,331A2452P11,INSERT MOLDED M10X1.5 METRIC 331A2452P11
3,331A2452P9,"INSERT MOLDED, METRIC M5 X 0.8"
4,331A2452P8,"INSERT MOLDED, METRIC M4 X 0.7"
5,331A2452P7,"INSERT MOLDED, METRIC M3.3 X 0.6"
6,4069,BASE INSERT
7,R6032P5,INSERT MOLDED IN PARTS
8,315A7143P1,"INSERT, CROSSBAR"
9,315A7143P2,"INSERT, CROSSBAR"
10,192A7923P30,"INSERT, METRIC, M3.5 X 6"
11,192A7923P23,'INSERT 8/32 GE 192A7923P23
12,1032C8-15,
13,INSERT 8-32,
14,INSERT 4-40,
15,1895-15AF,SPRING CARRIER ##
16,26414-32AF,CENTER POST
17,26514-29AF,CENTER POST        
18,26514-6AF,CENTER POST
19,26515-14AF,CENTER POST        
20,26515-6AF,CENTER POST
21,564B001,GROUND BUSHING ##
22,6369-208AH,PIN
23,6471-8,GROUND TERMINAL
24,6611-8,GROUND TERMINAL
25,6613-8,GROUND TERMINAL
26,799B001,CENTER POST
27,81492-40,OPER LEVER ROLL
28,81492-8,ROLLER ##
29,81492-9AF,SWITCH BLADE PIN##
30,852B001,GROUNDING PIN ##
31,WD035082,ESWP126 BUSHING  0207436
32,WD038841,"SHAFT, DRIVE"
33,WD13103,TERMINAL CTO CENTRAL LAT L-3000
34,WD13104,TERMINAL CTO LATERAL LAT L-3000
35,WD13105,
36,WD13106,
37,WD13107,
38,XT7101-7,NUT       8809/5289
39,XT3330-6AF,RIVET - 80
40,WD033025,ESWP126 PLUNGER        %%
41,7900-7,HINGE PIN 
42,1547-169,HINGE PIN 
43,1547-170,HINGE PIN 
44,822E,INSERTO
45,IP2-0300,INSERTO SCHNEIDER 31085-148-01 / 31041-005-01
46,IP2-0308,INSERTO SCHNEIDER 31043-067-01
47,IP2-0309,INSERTO SCHNEIDER 31063-013-01
48,IP2-0310,INSERTO SCHNEIDER 31041-006-01
49,IP2-0312,INSERTO SCHNEIDER 31074-193-01
50,IP2-0314,INSERTO SCHNEIDER 31074-191-01
51,IP2-0323,INSERTO SCHNEIDER 31041-060-01
52,IP2-0345,INSERTO I-44001-204-01
